  
       XFOIL         Version 6.99
  
 Calculated polar for: Blended_r0.263                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.027     Re =     0.063 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1903   0.02640   0.01812  -0.0755   0.9360   1.0000
   0.500   0.2599   0.02785   0.01900  -0.0796   0.9151   1.0000
   1.000   0.3251   0.02929   0.02006  -0.0827   0.8935   1.0000
   1.500   0.3955   0.03067   0.02118  -0.0864   0.8723   1.0000
   2.000   0.4521   0.03204   0.02239  -0.0877   0.8487   1.0000
   2.500   0.5146   0.03334   0.02359  -0.0897   0.8258   1.0000
   3.000   0.5853   0.03435   0.02460  -0.0924   0.8036   1.0000
   3.500   0.6407   0.03547   0.02576  -0.0927   0.7781   1.0000
   4.000   0.6992   0.03638   0.02680  -0.0930   0.7524   1.0000
   4.500   0.7609   0.03696   0.02754  -0.0933   0.7267   1.0000
   5.000   0.8278   0.03700   0.02780  -0.0936   0.7010   1.0000
   5.500   0.9044   0.03591   0.02709  -0.0938   0.6762   1.0000
   6.000   0.9825   0.03400   0.02552  -0.0932   0.6495   1.0000
   6.500   1.0566   0.03188   0.02384  -0.0916   0.6177   1.0000
   7.000   1.1307   0.02945   0.02170  -0.0896   0.5786   1.0000
   7.500   1.1923   0.02714   0.01946  -0.0858   0.5207   1.0000
   8.000   1.2300   0.02649   0.01882  -0.0801   0.4491   1.0000
   8.500   1.2511   0.02753   0.01975  -0.0736   0.3705   1.0000
   9.000   1.2497   0.03010   0.02176  -0.0649   0.2722   1.0000
   9.500   1.2352   0.03446   0.02525  -0.0560   0.1849   1.0000
  10.000   1.2601   0.03931   0.02956  -0.0521   0.1323   1.0000
   0.000   0.1903   0.02640   0.01812  -0.0755   0.9360   1.0000
  -0.500   0.1161   0.02487   0.01751  -0.0707   0.9559   1.0000
  -1.000   0.0357   0.02873   0.01859  -0.0674   0.9701   0.1389
  -1.500  -0.0436   0.03003   0.02009  -0.0627   0.9857   0.1098
  -2.000  -0.1286   0.03255   0.02339  -0.0569   1.0000   0.1028
  -2.500  -0.1834   0.03647   0.02849  -0.0562   1.0000   0.1118
  -3.500  -0.3896   0.06356   0.05890  -0.0139   1.0000   0.3157
