  
       XFOIL         Version 6.99
  
 Calculated polar for: DAE51                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.070     Re =     0.021 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0728   0.03264   0.01871  -0.0533   1.0000   1.0000
   1.000   0.1519   0.03553   0.01993  -0.0531   1.0000   1.0000
   2.000   0.2252   0.03922   0.02266  -0.0532   1.0000   1.0000
   3.000   0.2932   0.04380   0.02671  -0.0537   1.0000   1.0000
   4.000   0.3560   0.04936   0.03207  -0.0547   1.0000   1.0000
   5.000   0.4132   0.05605   0.03881  -0.0564   1.0000   1.0000
   6.000   0.4649   0.06404   0.04706  -0.0589   1.0000   1.0000
   7.000   0.5111   0.07344   0.05691  -0.0622   1.0000   1.0000
   8.000   0.5524   0.08439   0.06839  -0.0664   1.0000   1.0000
   9.000   0.5894   0.09689   0.08155  -0.0715   1.0000   1.0000
  10.000   0.6636   0.11643   0.10198  -0.0866   0.9574   1.0000
   0.000   0.0728   0.03264   0.01871  -0.0533   1.0000   1.0000
  -1.000  -0.0292   0.03647   0.02394  -0.0550   1.0000   0.4745
  -2.000  -0.1482   0.04378   0.03202  -0.0529   1.0000   0.3083
  -3.000  -0.2869   0.05661   0.04695  -0.0357   1.0000   0.3018
  -4.000  -0.3934   0.07533   0.06685   0.0001   1.0000   0.4291
  -5.000  -0.2773   0.07900   0.06982   0.0087   1.0000   0.6601
